,technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity
59,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0018,User executed Command,user,executed,command,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|command|command execution
60,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0018,User executed Command,user,executed,command,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|command|command execution
61,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0018,User executed Command,user,executed,command,4103,module logging.,windows,,,microsoft-windows-powershell/operational,microsoft-windows-powershell,,windows|microsoft-windows-powershell|4103|module logging.,windows|command|command execution
62,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0018,User executed Command,user,executed,command,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|command|command execution
63,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0131,Process executed Command,process,executed,command,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|command|command execution
64,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0131,Process executed Command,process,executed,command,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|command|command execution
65,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0131,Process executed Command,process,executed,command,4103,module logging.,windows,,,microsoft-windows-powershell/operational,microsoft-windows-powershell,,windows|microsoft-windows-powershell|4103|module logging.,windows|command|command execution
66,T1505.005,True,terminal services dll,persistence,Windows,command,command execution,REL-2022-0131,Process executed Command,process,executed,command,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|command|command execution
67,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0041,User modified File,user,modified,file,4670,permissions on an object were changed.,windows,Object Access,File System,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4670|permissions on an object were changed.,windows|file|file modification
68,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0041,User modified File,user,modified,file,DeviceFileEvents,devicefileevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""FileModified""}",windows|microsoft defender for endpoint|DeviceFileEvents|devicefileevents,windows|file|file modification
69,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0155,Process modified File,process,modified,file,2,a process changed a file creation time.,windows,FileCreateTime,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|2|a process changed a file creation time.,windows|file|file modification
70,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0155,Process modified File,process,modified,file,11,filecreate.,windows,FileCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|11|filecreate.,windows|file|file modification
71,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0155,Process modified File,process,modified,file,4670,permissions on an object were changed.,windows,Object Access,File System,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4670|permissions on an object were changed.,windows|file|file modification
72,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0155,Process modified File,process,modified,file,DeviceFileEvents,devicefileevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""FileModified""}",windows|microsoft defender for endpoint|DeviceFileEvents|devicefileevents,windows|file|file modification
73,T1505.005,True,terminal services dll,persistence,Windows,file,file modification,REL-2022-0155,Process modified File,process,modified,file,DeviceFileEvents,devicefileevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""FileRenamed""}",windows|microsoft defender for endpoint|DeviceFileEvents|devicefileevents,windows|file|file modification
74,T1505.005,True,terminal services dll,persistence,Windows,windows registry,windows registry key modification,REL-2022-0145,User modified Registry,user,modified,registry,13,registryevent (value set).,windows,RegistryEvent,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|13|registryevent (value set).,windows|windows registry|windows registry key modification
75,T1505.005,True,terminal services dll,persistence,Windows,windows registry,windows registry key modification,REL-2022-0145,User modified Registry,user,modified,registry,14,registryevent (key and value rename).,windows,RegistryEvent,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|14|registryevent (key and value rename).,windows|windows registry|windows registry key modification
76,T1505.005,True,terminal services dll,persistence,Windows,windows registry,windows registry key modification,REL-2022-0145,User modified Registry,user,modified,registry,4657,a registry value was modified.,windows,Object Access,Registry,security,microsoft-windows-security-auditing,"{""OperationType"": ""Existing registry value modified""}",windows|microsoft-windows-security-auditing|4657|a registry value was modified.,windows|windows registry|windows registry key modification
77,T1505.005,True,terminal services dll,persistence,Windows,windows registry,windows registry key modification,REL-2022-0145,User modified Registry,user,modified,registry,4670,permissions on an object were changed.,windows,Object Access,Registry,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4670|permissions on an object were changed.,windows|windows registry|windows registry key modification
78,T1505.005,True,terminal services dll,persistence,Windows,windows registry,windows registry key modification,REL-2022-0145,User modified Registry,user,modified,registry,DeviceRegistryEvents,deviceregistryevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""RegistryValueSet""}",windows|microsoft defender for endpoint|DeviceRegistryEvents|deviceregistryevents,windows|windows registry|windows registry key modification
79,T1505.005,True,terminal services dll,persistence,Windows,windows registry,windows registry key modification,REL-2022-0145,User modified Registry,user,modified,registry,DeviceRegistryEvents,deviceregistryevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""RegistryKeySet""}",windows|microsoft defender for endpoint|DeviceRegistryEvents|deviceregistryevents,windows|windows registry|windows registry key modification
